"Airports";"Periods";"Aircraft movements/Cross-country flights (number)";"Aircraft movements/Local flights (number)";"Commercial air traffic/Flights/All flights/Total flights (number)";"Commercial air traffic/Flights/All flights/Scheduled (number)";"Commercial air traffic/Passengers/Total passengers/Total passengers (number)";"Commercial air traffic/Cargo/Total cargo/Total cargo (ton)";"Commercial air traffic/Mail/Total mail/Total mail (ton)"
"Total Dutch airports";"2018";602096;54758;564546;540800;79606318;1818955;21486
"Total Dutch airports";"2019";603633;51939;566031;552061;81167301;1681703;21959
"Total Dutch airports";"2020 January*";43913;3006;41768;41111;5595249;122254;1908
"Total Dutch airports";"2020 February*";41559;3476;39299;38537;5281600;126726;1491
"Total Dutch airports";"2020 March*";30705;4099;28306;27414;2773554;127995;1167
"Total Dutch airports";"2020 April*";6093;1991;4759;4175;133752;103420;382
"Total Dutch airports";"2020 May*";8781;4397;6556;5738;220120;117525;542
"Total Dutch airports";"2020 June*";12305;6417;9336;8589;526544;121692;855
"Total Dutch airports";"2020 July*";23209;7456;19701;18753;1690515;132684;1083
"Total Dutch airports";"2020 August*";30641;6897;27575;26702;2242935;133168;1283
"Total Dutch airports";"2020 September*";28850;7154;25290;24515;1547263;135059;1251
"Total Dutch airports";"2020 October*";24471;6982;22028;21435;1303123;153109;1521
"Total Dutch airports";"2020 November*";18585;6537;16283;15490;965071;157508;1511
"Total Dutch airports";"2020 December*";19070;3243;17325;16271;1306018;146441;1837
"Total Dutch airports";"2020*";288182;61655;258226;248730;23585744;1577582;14831
"Total Dutch airports";"2021 January*";17466;2134;15907;15129;909617;140859;1403
"Total Dutch airports";"2021 February*";12995;3003;11528;10735;519827;137288;1109
"Total Dutch airports";"2021 March*";15789;9371;13228;12287;676647;165377;1379
"Total Dutch airports";"2021 April*";17967;8954;14891;14062;817876;152164;1258
"Total Dutch airports";"2021 May*";20237;8649;16987;16267;1169673;158164;1223
"Total Dutch airports";"2021 June*";25536;9299;21701;20885;1870330;145582;1128
"Total Dutch airports";"2021 July*";37718;7338;33916;32642;3515159;138789;978
"Total Dutch airports";"2021 August*";40922;8740;37282;36045;4479180;140198;1049
"Total Dutch airports";"2021 September*";39712;8785;35262;34040;4013477;144584;1002
"Total Dutch airports";"2021 October*";40489;6890;36465;35295;4395945;161776;1040
"Total Dutch airports";"2021 November*";35131;6510;32026;31023;3492940;156617;943
"Total Dutch airports";"2021 December*";36326;4327;33869;33044;3208864;153901;1038
"Total Dutch airports";"2021*";340288;84000;303062;291454;29069535;1795298;13550
"Total Dutch airports";"2022 January*";31964;5212;29604;28750;2831598;131588;827
"Total Dutch airports";"2022 February*";30459;5779;27456;26599;3040193;126020;824
"Total Dutch airports";"2022 March*";39107;9705;34568;33635;4241663;137570;819
"Total Dutch airports";"2022 April*";43239;7408;38824;37560;5140680;126658;688
"Total Dutch airports";"2022 May*";49637;7906;44823;42987;6092054;128112;685
"Total Dutch airports";"2022 June*";48847;9017;43248;41393;6118527;125858;667
"Total Dutch airports";"2022 July*";48364;8659;43218;41260;6211931;130029;584
"Total Dutch airports";"2022 August*";49173;9175;44862;42970;6378969;125037;549
"Amsterdam Airport Schiphol";"2018";512028;5706;499444;481923;70956594;1708132;21486
"Amsterdam Airport Schiphol";"2019";509725;6059;496827;489588;71679729;1570246;21959
"Amsterdam Airport Schiphol";"2020 January*";38410;468;37567;37263;5074773;113080;1908
"Amsterdam Airport Schiphol";"2020 February*";35942;486;34979;34608;4719769;116293;1491
"Amsterdam Airport Schiphol";"2020 March*";25883;529;25155;24619;2476372;120481;1167
"Amsterdam Airport Schiphol";"2020 April*";4583;371;4236;3850;126015;93255;382
"Amsterdam Airport Schiphol";"2020 May*";6347;403;5873;5279;207827;104745;542
"Amsterdam Airport Schiphol";"2020 June*";8797;422;8108;7619;471410;108164;855
"Amsterdam Airport Schiphol";"2020 July*";16789;430;15702;15170;1338857;119634;1083
"Amsterdam Airport Schiphol";"2020 August*";24093;519;23125;22671;1854786;119975;1283
"Amsterdam Airport Schiphol";"2020 September*";23046;442;22162;21764;1337741;124491;1251
"Amsterdam Airport Schiphol";"2020 October*";20306;378;19614;19323;1143483;140140;1521
"Amsterdam Airport Schiphol";"2020 November*";15382;402;14858;14322;900434;145474;1511
"Amsterdam Airport Schiphol";"2020 December*";16576;397;15896;15161;1233043;135866;1837
"Amsterdam Airport Schiphol";"2020*";236154;5247;227275;221649;20884510;1441597;14831
"Amsterdam Airport Schiphol";"2021 January*";15181;458;14666;14225;869129;133222;1403
"Amsterdam Airport Schiphol";"2021 February*";11083;409;10655;10173;505194;125137;1109
"Amsterdam Airport Schiphol";"2021 March*";12905;466;12217;11656;660176;153206;1379
"Amsterdam Airport Schiphol";"2021 April*";14489;402;13720;13254;786652;141132;1258
"Amsterdam Airport Schiphol";"2021 May*";16628;439;15576;15220;1106740;147017;1223
"Amsterdam Airport Schiphol";"2021 June*";20494;466;19195;18801;1678265;137956;1128
"Amsterdam Airport Schiphol";"2021 July*";30496;390;29141;28577;3029951;130664;978
"Amsterdam Airport Schiphol";"2021 August*";33118;430;31847;31222;3786973;130844;1049
"Amsterdam Airport Schiphol";"2021 September*";31820;538;30019;29431;3370205;133245;1002
"Amsterdam Airport Schiphol";"2021 October*";33037;428;31324;30789;3745991;149383;1040
"Amsterdam Airport Schiphol";"2021 November*";29730;394;28371;27913;3095823;143831;943
"Amsterdam Airport Schiphol";"2021 December*";31358;423;30225;29793;2855711;141667;1038
"Amsterdam Airport Schiphol";"2021*";280339;5243;266956;261054;25490810;1667304;13550
"Amsterdam Airport Schiphol";"2022 January*";27131;476;26231;25905;2488083;122553;827
"Amsterdam Airport Schiphol";"2022 February*";25198;333;24129;23743;2660676;118274;824
"Amsterdam Airport Schiphol";"2022 March*";31821;455;30382;29909;3732048;128198;819
"Amsterdam Airport Schiphol";"2022 April*";35035;494;33421;32752;4434587;116895;688
"Amsterdam Airport Schiphol";"2022 May*";40208;478;38419;37364;5217035;119478;685
"Amsterdam Airport Schiphol";"2022 June*";39103;475;36919;35915;5232630;116274;667
"Amsterdam Airport Schiphol";"2022 July*";38012;531;36000;35066;5179725;120131;584
"Amsterdam Airport Schiphol";"2022 August*";39284;535;37730;36811;5327361;116876;549
"Rotterdam The Hague Airport";"2018";28947;24334;17615;14637;1908158;0;0
"Rotterdam The Hague Airport";"2019";30100;22245;18406;15374;2094798;0;0
"Rotterdam The Hague Airport";"2020 January*";1607;1078;963;831;99080;0;0
"Rotterdam The Hague Airport";"2020 February*";1640;1100;1031;848;104062;0;0
"Rotterdam The Hague Airport";"2020 March*";1500;1672;748;633;62870;0;0
"Rotterdam The Hague Airport";"2020 April*";570;1058;41;0;0;0;0
"Rotterdam The Hague Airport";"2020 May*";932;1852;46;0;134;0;0
"Rotterdam The Hague Airport";"2020 June*";1160;2564;168;79;7971;0;0
"Rotterdam The Hague Airport";"2020 July*";2152;2820;1032;850;78468;0;0
"Rotterdam The Hague Airport";"2020 August*";2087;2544;1071;905;74047;0;0
"Rotterdam The Hague Airport";"2020 September*";1811;2534;635;468;32047;0;0
"Rotterdam The Hague Airport";"2020 October*";1139;2068;353;244;21811;0;0
"Rotterdam The Hague Airport";"2020 November*";898;1897;134;47;4761;0;0
"Rotterdam The Hague Airport";"2020 December*";623;1272;115;11;4590;0;0
"Rotterdam The Hague Airport";"2020*";16119;22459;6337;4916;489841;0;0
"Rotterdam The Hague Airport";"2021 January*";753;928;181;12;3311;0;0
"Rotterdam The Hague Airport";"2021 February*";714;2090;144;8;2871;0;0
"Rotterdam The Hague Airport";"2021 March*";972;2438;185;0;98;0;0
"Rotterdam The Hague Airport";"2021 April*";1239;2708;195;24;1945;0;0
"Rotterdam The Hague Airport";"2021 May*";1263;2686;267;110;8912;0;0
"Rotterdam The Hague Airport";"2021 June*";1700;2887;579;392;39309;0;0
"Rotterdam The Hague Airport";"2021 July*";2406;2560;1312;949;113882;0;0
"Rotterdam The Hague Airport";"2021 August*";2665;2943;1516;1209;181957;0;0
"Rotterdam The Hague Airport";"2021 September*";2630;2835;1410;1154;167169;0;0
"Rotterdam The Hague Airport";"2021 October*";2367;2392;1303;1022;147368;0;0
"Rotterdam The Hague Airport";"2021 November*";1502;2030;674;406;48278;0;0
"Rotterdam The Hague Airport";"2021 December*";1060;1330;541;376;40295;0;0
"Rotterdam The Hague Airport";"2021*";19271;27827;8307;5662;755395;0;0
"Rotterdam The Hague Airport";"2022 January*";1437;1358;734;495;58903;0;0
"Rotterdam The Hague Airport";"2022 February*";1514;1558;699;504;63510;0;0
"Rotterdam The Hague Airport";"2022 March*";2461;2962;989;781;101163;0;0
"Rotterdam The Hague Airport";"2022 April*";2733;2558;1437;1134;139308;0;0
"Rotterdam The Hague Airport";"2022 May*";3412;2744;1974;1579;224714;0;0
"Rotterdam The Hague Airport";"2022 June*";3368;2482;1858;1460;224069;0;0
"Rotterdam The Hague Airport";"2022 July*";3884;2550;2465;1815;312468;0;0
"Rotterdam The Hague Airport";"2022 August*";3628;3064;2353;1747;305371;0;0
"Eindhoven Airport";"2018";38645;2;37035;36084;6237755;0;0
"Eindhoven Airport";"2019";41441;0;40209;39182;6780775;0;0
"Eindhoven Airport";"2020 January*";2633;0;2554;2469;400991;0;0
"Eindhoven Airport";"2020 February*";2747;0;2649;2583;438828;0;0
"Eindhoven Airport";"2020 March*";1936;0;1888;1834;225071;0;0
"Eindhoven Airport";"2020 April*";158;0;148;116;7732;0;0
"Eindhoven Airport";"2020 May*";205;0;178;150;12108;0;0
"Eindhoven Airport";"2020 June*";658;1;565;517;46774;0;0
"Eindhoven Airport";"2020 July*";2405;0;2292;2227;257515;0;0
"Eindhoven Airport";"2020 August*";2846;0;2713;2651;295053;0;0
"Eindhoven Airport";"2020 September*";2078;0;1947;1884;171375;0;0
"Eindhoven Airport";"2020 October*";1524;0;1451;1395;133057;0;0
"Eindhoven Airport";"2020 November*";779;0;721;698;57737;0;0
"Eindhoven Airport";"2020 December*";852;0;769;724;66544;0;0
"Eindhoven Airport";"2020*";18821;1;17875;17248;2112785;0;0
"Eindhoven Airport";"2021 January*";609;0;572;547;36128;0;0
"Eindhoven Airport";"2021 February*";185;0;169;144;11314;0;0
"Eindhoven Airport";"2021 March*";274;0;226;196;16000;0;0
"Eindhoven Airport";"2021 April*";436;0;373;334;27805;0;0
"Eindhoven Airport";"2021 May*";673;0;562;500;51798;0;0
"Eindhoven Airport";"2021 June*";1570;0;1428;1341;147608;0;0
"Eindhoven Airport";"2021 July*";2931;0;2779;2634;344808;0;0
"Eindhoven Airport";"2021 August*";3393;0;3245;3116;481576;0;0
"Eindhoven Airport";"2021 September*";3229;0;3112;2986;453527;0;0
"Eindhoven Airport";"2021 October*";3252;0;3097;2959;479966;0;0
"Eindhoven Airport";"2021 November*";2489;0;2390;2301;341640;0;0
"Eindhoven Airport";"2021 December*";2665;0;2571;2492;306254;0;0
"Eindhoven Airport";"2021*";21706;0;20524;19550;2698424;0;0
"Eindhoven Airport";"2022 January*";2220;0;2133;2060;275066;0;0
"Eindhoven Airport";"2022 February*";2238;0;2151;2064;309283;0;0
"Eindhoven Airport";"2022 March*";2806;0;2700;2595;401775;0;0
"Eindhoven Airport";"2022 April*";3504;0;3390;3281;546389;0;0
"Eindhoven Airport";"2022 May*";3901;0;3768;3645;619540;0;0
"Eindhoven Airport";"2022 June*";3858;0;3724;3622;631700;0;0
"Eindhoven Airport";"2022 July*";4049;0;3909;3799;662646;0;0
"Eindhoven Airport";"2022 August*";4067;0;3948;3842;678848;0;0
"Maastricht Aachen Airport";"2018";10434;5345;6017;5008;275113;110823;0
"Maastricht Aachen Airport";"2019";11404;2681;7199;5784;435977;111457;0
"Maastricht Aachen Airport";"2020 January*";671;214;474;369;15115;9174;0
"Maastricht Aachen Airport";"2020 February*";696;134;476;365;14354;10433;0
"Maastricht Aachen Airport";"2020 March*";787;146;485;320;7242;7514;0
"Maastricht Aachen Airport";"2020 April*";414;92;329;209;5;10165;0
"Maastricht Aachen Airport";"2020 May*";627;230;452;309;4;12780;0
"Maastricht Aachen Airport";"2020 June*";751;282;489;374;389;13528;0
"Maastricht Aachen Airport";"2020 July*";961;290;621;506;12952;13050;0
"Maastricht Aachen Airport";"2020 August*";938;196;615;475;16818;13194;0
"Maastricht Aachen Airport";"2020 September*";849;278;516;399;5511;10568;0
"Maastricht Aachen Airport";"2020 October*";815;292;587;473;4710;12969;0
"Maastricht Aachen Airport";"2020 November*";780;430;548;423;2139;12034;0
"Maastricht Aachen Airport";"2020 December*";673;106;535;375;1841;10575;0
"Maastricht Aachen Airport";"2020*";8962;2690;6127;4597;81080;135985;0
"Maastricht Aachen Airport";"2021 January*";552;52;468;345;1049;7637;0
"Maastricht Aachen Airport";"2021 February*";649;86;537;410;448;12151;0
"Maastricht Aachen Airport";"2021 March*";769;247;560;435;373;12171;0
"Maastricht Aachen Airport";"2021 April*";831;342;563;450;1474;11032;0
"Maastricht Aachen Airport";"2021 May*";866;382;555;437;2223;11147;0
"Maastricht Aachen Airport";"2021 June*";746;264;460;351;4454;7626;0
"Maastricht Aachen Airport";"2021 July*";960;240;583;482;22399;8125;0
"Maastricht Aachen Airport";"2021 August*";923;265;600;498;24199;9354;0
"Maastricht Aachen Airport";"2021 September*";1096;360;623;469;16364;11339;0
"Maastricht Aachen Airport";"2021 October*";1088;270;656;525;17826;12393;0
"Maastricht Aachen Airport";"2021 November*";810;274;523;403;3744;12787;0
"Maastricht Aachen Airport";"2021 December*";700;130;473;383;3093;12234;0
"Maastricht Aachen Airport";"2021*";9990;2912;6601;5188;97646;127994;0
"Maastricht Aachen Airport";"2022 January*";613;58;431;290;5880;9035;0
"Maastricht Aachen Airport";"2022 February*";681;193;398;288;3288;7746;0
"Maastricht Aachen Airport";"2022 March*";853;330;434;350;3371;9372;0
"Maastricht Aachen Airport";"2022 April*";938;280;514;393;15386;9763;0
"Maastricht Aachen Airport";"2022 May*";1073;420;542;399;22019;8634;0
"Maastricht Aachen Airport";"2022 June*";1258;454;599;396;20728;9584;0
"Maastricht Aachen Airport";"2022 July*";1305;216;712;580;45778;9898;0
"Maastricht Aachen Airport";"2022 August*";1063;198;696;570;53999;8161;0
"Groningen Airport Eelde";"2018";12042;19371;4435;3148;228698;0;0
"Groningen Airport Eelde";"2019";10963;20954;3390;2133;176022;0;0
"Groningen Airport Eelde";"2020 January*";592;1246;210;179;5290;0;0
"Groningen Airport Eelde";"2020 February*";534;1756;164;133;4587;0;0
"Groningen Airport Eelde";"2020 March*";599;1752;30;8;1999;0;0
"Groningen Airport Eelde";"2020 April*";368;470;5;0;0;0;0
"Groningen Airport Eelde";"2020 May*";670;1912;7;0;47;0;0
"Groningen Airport Eelde";"2020 June*";939;3148;6;0;0;0;0
"Groningen Airport Eelde";"2020 July*";902;3916;54;0;2723;0;0
"Groningen Airport Eelde";"2020 August*";677;3638;51;0;2231;0;0
"Groningen Airport Eelde";"2020 September*";1066;3900;30;0;589;0;0
"Groningen Airport Eelde";"2020 October*";687;4244;23;0;62;0;0
"Groningen Airport Eelde";"2020 November*";746;3808;22;0;0;0;0
"Groningen Airport Eelde";"2020 December*";346;1468;10;0;0;0;0
"Groningen Airport Eelde";"2020*";8126;31258;612;320;17528;0;0
"Groningen Airport Eelde";"2021 January*";371;696;20;0;0;0;0
"Groningen Airport Eelde";"2021 February*";364;418;23;0;0;0;0
"Groningen Airport Eelde";"2021 March*";869;6220;40;0;0;0;0
"Groningen Airport Eelde";"2021 April*";972;5502;40;0;0;0;0
"Groningen Airport Eelde";"2021 May*";807;5142;27;0;0;0;0
"Groningen Airport Eelde";"2021 June*";1026;5682;39;0;694;0;0
"Groningen Airport Eelde";"2021 July*";925;4148;101;0;4119;0;0
"Groningen Airport Eelde";"2021 August*";823;5102;74;0;4475;0;0
"Groningen Airport Eelde";"2021 September*";937;5052;98;0;6212;0;0
"Groningen Airport Eelde";"2021 October*";745;3800;85;0;4794;0;0
"Groningen Airport Eelde";"2021 November*";600;3812;68;0;3455;0;0
"Groningen Airport Eelde";"2021 December*";543;2444;59;0;3511;0;0
"Groningen Airport Eelde";"2021*";8982;48018;674;0;27260;0;0
"Groningen Airport Eelde";"2022 January*";563;3320;75;0;3666;0;0
"Groningen Airport Eelde";"2022 February*";828;3695;79;0;3436;0;0
"Groningen Airport Eelde";"2022 March*";1166;5958;63;0;3306;0;0
"Groningen Airport Eelde";"2022 April*";1029;4076;62;0;5010;0;0
"Groningen Airport Eelde";"2022 May*";1043;4264;120;0;8746;0;0
"Groningen Airport Eelde";"2022 June*";1260;5606;148;0;9400;0;0
"Groningen Airport Eelde";"2022 July*";1114;5362;132;0;11314;0;0
"Groningen Airport Eelde";"2022 August*";1131;5378;135;0;13390;0;0
